"logFC","AveExpr","t","P.Value","adj.P.Val","B","PROBEID","SYMBOL","ENTREZID","GENENAME"
2.31690412491337,6.36577388109463,26.0030859816276,2.10571430476277e-06,0.0214332026026946,4.48554074709488,"209291_at","ID4","3400","inhibitor of DNA binding 4"
2.95900406048102,4.85621983072613,28.9313405701278,1.58662876717928e-06,0.0214332026026946,4.48048561826239,"228640_at","PCDH7","5099","protocadherin 7"
2.69524834363911,6.09759909193399,27.4798319853724,1.84887408283607e-06,0.0214332026026946,4.47196558151033,"218559_s_at","MAFB","9935","MAF bZIP transcription factor B"
3.88988802697943,7.16580848312917,28.6590871619441,1.67129412927451e-06,0.0214332026026946,4.459784284474,"204415_at","IFI6","2537","interferon alpha inducible protein 6"
2.99436414921277,4.44848482846646,28.0886693257406,1.83780652886e-06,0.0214332026026946,4.42776741742101,"229450_at","IFIT3","3437","interferon induced protein with tetratricopeptide repeats 3"
2.08175406012406,5.80668225428948,23.372938406584,3.52247271637092e-06,0.0214332026026946,4.27278322970319,"203595_s_at","IFIT5","24138","interferon induced protein with tetratricopeptide repeats 5"
2.17859585446902,4.27652035950089,23.1177511442969,3.87766833033989e-06,0.0214332026026946,4.21281274458031,"228531_at","SAMD9","54809","sterile alpha motif domain containing 9"
2.55094480335056,6.40656385919825,24.8053946074011,3.30467343569172e-06,0.0214332026026946,4.2087502853601,"205304_s_at","KCNJ8","3764","potassium inwardly rectifying channel subfamily J member 8"
1.91948403474801,5.12403999633589,22.4123538542065,4.31212123693902e-06,0.0214332026026946,4.18091874362602,"242455_at","POU3F2","5454","POU class 3 homeobox 2"
2.20040249032584,4.2308021945623,22.9804865869232,4.11721215669764e-06,0.0214332026026946,4.173512865833,"227452_at","LINC00511","400619","long intergenic non-protein coding RNA 511"
2.20040249032584,4.2308021945623,22.9804865869232,4.11721215669764e-06,0.0214332026026946,4.173512865833,"227452_at","LINC00673","100499467","long intergenic non-protein coding RNA 673"
2.25578456215453,6.18410484788892,23.0528526479391,4.2520559300397e-06,0.0214332026026946,4.14043408911806,"226702_at","CMPK2","129607","cytidine/uridine monophosphate kinase 2"
2.40425573153762,5.06102997655977,22.9199531625582,4.79712285937969e-06,0.0218568910280487,4.04962580325779,"204621_s_at","NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
2.03061127314987,8.529550336859,21.0812201738508,6.28492197425348e-06,0.023414374405359,3.96870969558979,"235944_at","HMCN1","83872","hemicentin 1"
2.48781486777803,4.87434251574191,21.5420544038931,6.42369668185433e-06,0.023414374405359,3.91350532411345,"220979_s_at","ST6GALNAC5","81849","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
1.74057170635294,4.35160886578337,19.6006182987805,8.2196567840562e-06,0.0249672074815707,3.85554691274034,"207012_at","MMP16","4325","matrix metallopeptidase 16"
2.28072793683959,5.72433422016931,20.8964614824745,7.41252620839911e-06,0.0249672074815707,3.84298005178956,"229782_at","RMST","196475","rhabdomyosarcoma 2 associated transcript"
2.89435515832489,5.02337573140552,19.5666774264782,1.0097549365737e-05,0.0281213090688057,3.68208483517195,"202411_at","IFI27","3429","interferon alpha inducible protein 27"
2.37721952607677,4.71174085994101,19.4895279970187,1.02867157087538e-05,0.0281213090688057,3.67204536452022,"202869_at","OAS1","4938","2'-5'-oligoadenylate synthetase 1"
2.30116816011569,4.62998346626769,19.167560923633,1.1123904385236e-05,0.0289094927805764,3.62924875772209,"218986_s_at","DDX60","55601","DExD/H-box helicase 60"
2.93127490371537,5.25872998134453,18.6615017210582,1.26128161410914e-05,0.0289094927805764,3.55893092403593,"203065_s_at","CAV1","857","caveolin 1"
3.0542967217794,5.04894255250329,18.61116291812,1.27737262987164e-05,0.0289094927805764,3.55172423852171,"205534_at","PCDH7","5099","protocadherin 7"
1.95697315398082,7.27967353728734,18.5860043766873,1.28550758730461e-05,0.0289094927805764,3.54810769719017,"203882_at","IRF9","10379","interferon regulatory factor 9"
1.53446942815898,6.42416536238904,17.1342843336834,1.5671268519138e-05,0.0289094927805764,3.47939510386331,"225540_at","MAP2","4133","microtubule associated protein 2"
1.58077120677826,7.55582077730831,17.0237041631516,1.64078941997369e-05,0.0289094927805764,3.44715740025763,"227955_s_at","EFNA5","1946","ephrin A5"
1.87790341399743,6.22177720831287,17.6078350842894,1.656510805955e-05,0.0289094927805764,3.39949911491983,"201739_at","SGK1","6446","serum/glucocorticoid regulated kinase 1"
1.51400725042079,4.36674510250556,16.6146050356076,1.81614599994794e-05,0.0289094927805764,3.38625114780777,"219701_at","TMOD2","29767","tropomodulin 2"
1.55425340780072,8.18408995753779,16.6325775406789,1.85086014634509e-05,0.0289094927805764,3.36875538522195,"202284_s_at","CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
2.17330261447783,3.30998316035542,17.3536735084261,1.77330543132651e-05,0.0289094927805764,3.35818354937538,"227449_at","EPHA4","2043","EPH receptor A4"
2.21694770221693,6.06932590877162,17.3524233482714,1.77390405830362e-05,0.0289094927805764,3.35797741569853,"201141_at","GPNMB","10457","glycoprotein nmb"
2.34731167466398,4.92655604426533,17.0447499602424,1.92895234326521e-05,0.0289094927805764,3.3063567593439,"232116_at","GRHL3","57822","grainyhead like transcription factor 3"
2.36151350979891,6.77333324352279,17.0316874520756,1.93588978658067e-05,0.0289094927805764,3.30412536084781,"230493_at","SHISA2","387914","shisa family member 2"
3.06293279059502,6.06160329526605,16.892407114513,2.01176710288917e-05,0.0289094927805764,3.28012692119895,"212097_at","CAV1","857","caveolin 1"
1.6532697510055,4.78361072194012,16.5482059245597,2.11500633054057e-05,0.0289094927805764,3.25906617600376,"229872_s_at","LOC100996720","100996720","uncharacterized LOC100996720"
1.6532697510055,4.78361072194012,16.5482059245597,2.11500633054057e-05,0.0289094927805764,3.25906617600376,"229872_s_at","LOC100996740","100996740","uncharacterized LOC100996740"
1.56219535633798,6.64762823937716,16.0422914980538,2.34850928509926e-05,0.0313182305275127,3.19994066081755,"227697_at","SOCS3","9021","suppressor of cytokine signaling 3"
2.24801003440506,6.02852540595088,15.9816290896877,2.60720723689777e-05,0.0339402513517584,3.11343754822493,"204622_x_at","NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
1.33187316524523,8.71722590874195,14.9544498314328,3.00333233958611e-05,0.0373198171970161,3.04865386937089,"226271_at","GDAP1","54332","ganglioside induced differentiation associated protein 1"
1.25187930438172,9.25501768187717,14.8276766958541,3.12777406294136e-05,0.037437064513463,3.02007918327307,"229139_at","JPH1","56704","junctophilin 1"
1.66517706426009,8.66091824302027,15.3477708160759,3.14971187493241e-05,0.037437064513463,2.98660617728796,"221760_at","MAN1A1","4121","mannosidase alpha class 1A member 1"
2.34621069070544,5.93522414230854,15.2519637082201,3.24312657505267e-05,0.0374856670986419,2.96660054739377,"216248_s_at","NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
1.53238252880317,6.89338458347231,15.1000834008908,3.33602624006893e-05,0.0374856670986419,2.95033370086562,"222557_at","STMN3","50861","stathmin 3"
1.32171804321907,5.40109484683977,14.5105463270903,3.46726125018663e-05,0.0374856670986419,2.94667845586833,"203767_s_at","STS","412","steroid sulfatase"
2.85707195647201,6.55231164399584,15.1161642151912,3.38133319910126e-05,0.0374856670986419,2.93785233452279,"229947_at","PI15","51050","peptidase inhibitor 15"
2.63116245680676,4.01450659219697,14.9725730636434,3.53527907509254e-05,0.0374856670986419,2.90694580886655,"226757_at","IFIT2","3433","interferon induced protein with tetratricopeptide repeats 2"
1.5844341023385,8.67696414694411,14.9455705231018,3.56516632671125e-05,0.0374856670986419,2.90107448209108,"205483_s_at","ISG15","9636","ISG15 ubiquitin like modifier"
2.6387936439051,6.78382055901416,14.8686055838051,3.65204206843522e-05,0.037674603790886,2.88423525220488,"205303_at","KCNJ8","3764","potassium inwardly rectifying channel subfamily J member 8"
1.68520748294508,3.93111802660986,14.6192294223259,3.95163216851889e-05,0.0400102757062538,2.82859489833967,"226933_s_at","ID4","3400","inhibitor of DNA binding 4"
