"logFC","AveExpr","t","P.Value","adj.P.Val","B","PROBEID","SYMBOL","ENTREZID","GENENAME"
-1.69264475193669,3.0712160350392,-19.7127696276756,7.99731547304981e-06,0.0249672074815707,3.87040053447607,"239752_at","CECR2","27443","CECR2 histone acetyl-lysine reader"
-1.72193694693337,3.2982442322756,-17.7145411754156,1.46180336030311e-05,0.0289094927805764,3.49967695204651,"213158_at","ZBTB20","26137","zinc finger and BTB domain containing 20"
-1.41272530326531,7.1662528577125,-16.4286729363591,1.91663271551797e-05,0.0289094927805764,3.35157397600297,"225007_at","G3BP1","10146","G3BP stress granule assembly factor 1"
-1.44314323361847,4.75344894195008,-16.1449937716886,2.08315588181062e-05,0.0289094927805764,3.29722919756159,"224071_at","IL20","50604","interleukin 20"
-1.69713147589628,5.6172411935899,-16.807493400865,1.99669787230758e-05,0.0289094927805764,3.29210117045716,"206043_s_at","ATP2C2","9914","ATPase secretory pathway Ca2+ transporting 2"
-1.72292361183123,4.23752116502352,-15.7724773399764,2.77274782093222e-05,0.0352558109556905,3.07262238066564,"226545_at","CD109","135228","CD109 molecule"
-1.4974732168531,4.07607197310145,-14.4508778944892,4.17072622069697e-05,0.0408140213095839,2.7900770787117,"236480_at","MIR210HG","100506211","MIR210 host gene"
-1.16886822116098,4.77862121183077,-13.8180644376237,4.37586476745065e-05,0.0408140213095839,2.77631659015725,"206076_at","LRRC23","10233","leucine rich repeat containing 23"
-1.4742055832651,7.58658439178955,-14.3496503246518,4.30952844921395e-05,0.0408140213095839,2.76653641030092,"222108_at","AMIGO2","347902","adhesion molecule with Ig like domain 2"
-1.21696312128498,7.21592420398806,-13.6170529400025,4.6915304995286e-05,0.0416532562182125,2.72411339863087,"205350_at","CRABP1","1381","cellular retinoic acid binding protein 1"
-1.47057116528214,4.44886243658763,-13.9336233022376,4.94190044678585e-05,0.0428886360203201,2.66668421853845,"219415_at","TTYH1","57348","tweety family member 1"
-1.30078063874159,4.50245057921365,-13.4731840462912,5.2651575702157e-05,0.0429660433062005,2.63000284117051,"219786_at","TESMIN","9633","testis expressed metallothionein like protein"
-1.99623028768772,8.13818932149457,-13.5796250804771,5.56992574032453e-05,0.0435344109751547,2.57761123730287,"225342_at","AK4","205","adenylate kinase 4"
-1.53632361827967,6.66314186339434,-13.53626500878,5.65330256833284e-05,0.0435344109751547,2.56643045254752,"243110_x_at","NPW","283869","neuropeptide W"
-1.19000610600718,6.42159709472621,-12.5084836737109,7.32716266933815e-05,0.0488551974324467,2.37453893972166,"223162_s_at","DENND11","57189","DENN domain containing 11"
